date,nav
2017-12-01,2000000.0
2018-01-01,2088634.5889979124
2018-02-01,1997737.6268984496
2018-03-01,1921549.0168839823
2018-04-02,1874643.3214203687
2018-05-02,1974151.5776691898
2018-06-01,1903921.4715385765
2018-07-02,1893888.366949793
2018-08-01,1970303.2936732732
2018-09-03,2039612.3608359562
2018-10-01,1881409.4720547425
2018-11-01,1750788.8537686097
2018-12-03,1846515.881158136
2019-01-01,1851901.5824978577
2019-02-01,1907190.2181332337
2019-03-01,1903455.7251675355
2019-04-01,1955334.0603878724
2019-05-02,1936156.513188683
2019-06-03,1977860.2974979635
2019-07-01,1967010.445486452
2019-08-01,1766574.3437428847
2019-09-03,1781958.3518023863
2019-10-01,1968481.113973178
2019-11-01,2089497.8288741484
2019-12-02,2041806.4233208224
2020-01-01,2102658.232323773
2020-02-03,2248898.906067588
2020-03-02,2210412.2448883993
2020-04-01,1780809.21980295
2020-05-04,2032817.7052765829
2020-06-01,2072986.2223969442
2020-07-01,2155199.231247042
2020-08-03,2254273.146743868
2020-09-01,2267738.7377274726
2020-10-01,2408179.5177732157
2020-11-02,2433626.0002346295
2020-12-01,2736277.0270842705
2021-01-01,2799972.8264103937
2021-02-01,2784273.1646507555
2021-03-01,3200893.543641432
2021-04-01,3568099.570897271
2021-05-03,3848202.2504263525
2021-06-01,4052104.276528358
2021-07-01,4108779.9649787573
2021-08-02,4482357.209906441
2021-09-01,4554310.597297975
2021-10-01,4796758.99459485
2021-11-01,4805049.225484743
2021-12-01,4873293.551255458
2022-01-03,4997604.655688215
2022-02-01,4936629.897079506
2022-03-02,4736192.256896464
2022-04-01,5364659.4492335
2022-05-02,5402097.185692646
2022-06-01,5125561.488915302
2022-07-01,4786472.9863365665
2022-08-01,5553384.866860248
2022-09-01,5976048.050791785
2022-10-03,6026586.270736671
2022-11-01,6274416.672900519
2022-12-01,6227901.583178687
2023-01-02,6227838.353711877
2023-02-01,5546150.0874472335
2023-03-01,5634183.347697896
2023-04-03,5682829.208621663
2023-05-02,6131422.74614684
2023-06-01,6441309.853047371
2023-07-03,6934057.068246893
2023-08-01,7290053.271451043
2023-09-01,7474397.254601638
2023-10-03,7906039.605949162
2023-11-01,7903709.687500451
2023-12-01,9265894.970066685
2024-01-01,9930688.44755968
2024-02-01,10508728.864531592
2024-03-01,10716098.056814674
2024-04-01,11197589.80024532
2024-05-02,11595447.491110675
2024-06-03,12006002.420695562
2024-07-01,12458906.039429609
2024-08-01,12613333.453647973
2024-09-02,13252066.017508911
2024-10-01,13672497.381777493
2024-11-01,12680494.434327349
2024-12-02,13059411.043570573
2025-01-01,13767903.856767917
2025-02-01,12069995.740377232
2025-03-03,10774491.732076451
2025-04-01,11546024.231313512
2025-05-02,12074142.2029932
2025-06-02,13090556.083822057
2025-07-01,13578823.113224108
2025-08-01,13194075.428634305
2025-09-01,13380494.438649826
2025-10-01,13447713.778970657
2025-11-03,13420387.894464314
2025-12-01,13774357.90040284
2026-01-01,13765446.474990405
2026-02-02,13143814.904686946
2026-03-02,13512208.948571224
2026-04-01,12288035.37212469
2026-05-01,13137798.694787044
