date,nav
2015-02-02,2000000.0
2015-04-01,2126929.0066549475
2015-06-01,2114890.714502926
2015-08-03,2230538.168553505
2015-10-01,2138248.3586474536
2015-12-01,2136723.4856501697
2016-02-01,2088453.6739855884
2016-04-01,2089760.0840884326
2016-06-01,2186085.38930999
2016-08-01,2560164.4108896786
2016-10-03,2715572.6408449635
2016-12-01,2507380.011559008
2017-02-01,2818509.3619084344
2017-04-03,2988179.6382300192
2017-06-01,3159832.2889932394
2017-08-01,3394133.702922236
2017-10-03,3538028.90655055
2017-12-01,3811145.8174025263
2018-02-01,3796745.7028944516
2018-04-02,3653343.787735316
2018-06-01,3975823.58360894
2018-08-01,4227778.168811088
2018-10-01,4104582.516308954
2018-12-03,4078325.007474115
2019-02-01,4176824.7392980778
2019-04-01,4356083.716749402
2019-06-03,4582352.595443049
2019-08-01,4213706.518996775
2019-10-01,4539765.32816273
2019-12-02,4745149.994729795
2020-02-03,4968963.669122729
2020-04-01,4013304.652205404
2020-06-01,4637462.338179525
2020-08-03,4970849.182837423
2020-10-01,5332974.470970875
2020-12-01,6059371.564372701
2021-02-01,6330943.145499377
2021-04-01,8671782.352265108
2021-06-01,10360192.05713087
2021-08-02,10300313.29399921
2021-10-01,11370176.181526443
2021-12-01,11758702.724215392
2022-02-01,12807438.806321025
2022-04-01,14235442.102376372
2022-06-01,13916109.68107812
2022-08-01,15903368.118868036
2022-10-03,16320306.293907467
2022-12-01,17590186.0171947
2023-02-01,16320917.41933111
2023-04-03,16985630.691204585
2023-06-01,19090297.209194697
2023-08-01,20895867.049500156
2023-10-03,21626903.988213986
2023-12-01,24202152.166776888
2024-02-01,26834205.845806375
2024-04-01,30080989.72243745
2024-06-03,32005039.304852672
2024-08-01,35007684.42646633
2024-10-01,39316043.1601567
2024-12-02,37017794.80341381
2025-02-01,34436502.69480971
2025-04-01,32259373.639084615
2025-06-02,35321485.75984267
2025-08-01,34113796.393358484
2025-10-01,32970174.549209423
2025-12-01,36187012.45421448
2026-02-02,34167923.31336373
2026-04-01,32573534.864083946
2026-06-01,34513819.91268319
