date,nav
2015-01-01,2000000.0
2015-02-02,1974442.2280094586
2015-03-02,1992354.1228427847
2015-04-01,1972495.9119815787
2015-05-04,1960617.1891803702
2015-06-01,1948641.276369091
2015-07-01,1937311.0012703054
2015-08-03,2024504.4706230275
2015-09-01,1935910.6431541555
2015-10-01,1961155.968612682
2015-11-02,1933856.9523887746
2015-12-01,1963560.2340011708
2016-01-01,1991388.637363445
2016-02-01,1911974.484527599
2016-03-01,1796890.235134136
2016-04-01,1875236.914466869
2016-05-02,1898895.7215805165
2016-06-01,1889785.3763354863
2016-07-01,1973846.498453097
2016-08-01,2005636.668837504
2016-09-01,2048460.6487092725
2016-10-03,2071317.5680989972
2016-11-01,2080056.653000807
2016-12-01,1965463.7453783005
2017-01-02,1967106.2331598252
2017-02-01,2064073.666906163
2017-03-01,2128636.5528871026
2017-04-03,2207638.3988744225
2017-05-02,2289922.8869916406
2017-06-01,2191804.496236941
2017-07-03,2252271.218474473
2017-08-01,2204355.3139677895
2017-09-01,2182764.477156724
2017-10-03,2173307.8830004586
2017-11-01,2326692.0767317666
2017-12-01,2342242.2849074258
2018-01-01,2438219.3123980416
2018-02-01,2472446.204539355
2018-03-01,2416483.952917155
2018-04-02,2300248.261776006
2018-05-02,2432140.22404678
2018-06-01,2304932.78484161
2018-07-02,2330463.370372921
2018-08-01,2502111.550907284
2018-09-03,2582765.6185428607
2018-10-01,2264983.8660639
2018-11-01,2203071.2081430624
2018-12-03,2254620.738618679
2019-01-01,2239643.9719408224
2019-02-01,2205979.816716976
2019-03-01,2163082.509687252
2019-04-01,2265029.7557085226
2019-05-02,2271146.2357014073
2019-06-03,2315378.4611884486
2019-07-01,2302044.367142031
2019-08-01,2119281.7892422955
2019-09-03,2108955.0644345563
2019-10-01,2318610.6032834332
2019-11-01,2409291.6936154645
2019-12-02,2407049.03763971
2020-01-01,2509725.3087481135
2020-02-03,2744243.5996841225
2020-03-02,2676975.2107367897
2020-04-01,2194144.0611701393
2020-05-04,2578632.1616340065
2020-06-01,2771789.223310032
2020-07-01,2981182.3329902077
2020-08-03,3168256.056348362
2020-09-01,3573431.80529298
2020-10-01,3993095.498459045
2020-11-02,4053929.947533761
2020-12-01,4761185.45244257
2021-01-01,4918175.387770364
2021-02-01,4988556.146485781
2021-03-01,5618708.603881267
2021-04-01,5831340.902978225
2021-05-03,6300933.893811351
2021-06-01,6822029.137701737
2021-07-01,7189831.103160035
2021-08-02,7660536.914805073
2021-09-01,7760887.066770048
2021-10-01,8213309.592868881
2021-11-01,8377762.532002711
2021-12-01,8514581.40606513
2022-01-03,9275694.066411667
2022-02-01,9183167.735420045
2022-03-02,8475943.30855469
2022-04-01,9423465.560103457
2022-05-02,9280320.62885659
2022-06-01,8906661.645557335
2022-07-01,8131620.526683738
2022-08-01,9343363.615856102
2022-09-01,9910428.805131901
2022-10-03,9798363.476106018
2022-11-01,10560319.736251913
2022-12-01,10914723.296591323
2023-01-02,10626707.971967148
2023-02-01,10184320.066595126
2023-03-01,10010070.058273615
2023-04-03,10075022.987671198
2023-05-02,10807875.4480899
2023-06-01,11246295.386492904
2023-07-03,12049778.604866993
2023-08-01,12803787.15490234
2023-09-01,14057841.773243047
2023-10-03,14706867.396922937
2023-11-01,14442253.913921036
2023-12-01,16324624.133471724
2024-01-01,16944678.49017565
2024-02-01,17738196.914704856
2024-03-01,17834289.787602387
2024-04-01,18166002.39537371
2024-05-02,18845496.98437585
2024-06-03,19520043.247224763
2024-07-01,20671637.057280503
2024-08-01,20543956.448325217
2024-09-02,21299366.253329016
2024-10-01,22167515.299250353
2024-11-01,20725253.86328061
2024-12-02,19985356.529858403
2025-01-01,20603957.30129827
2025-02-01,17479692.636726998
2025-03-03,15445202.133247994
2025-04-01,16558979.229622506
2025-05-02,16992759.504738472
2025-06-02,18405371.172890328
2025-07-01,19096506.601943616
2025-08-01,18291744.93823815
2025-09-01,18324740.54685334
2025-10-01,17765214.68352908
2025-11-03,17968711.892546494
2025-12-01,17930384.309674267
2026-01-01,18160086.797873963
2026-02-02,17325213.91995117
2026-03-02,17848740.48612854
2026-04-01,16456040.874922484
2026-05-01,17583903.404906005
2026-06-01,17465555.89248535
2026-07-01,18387621.870634764
