ticker,primary_sector,listed_in_indices
360ONE,NIFTY FIN SERVICE,NIFTY FIN SERVICE
ABB,NIFTY ENERGY,NIFTY ENERGY;NIFTY INDIA MFG;NIFTY MNC
ABCAPITAL,NIFTY FIN SERVICE,NIFTY FIN SERVICE
ADANIENSOL,NIFTY ENERGY,NIFTY ENERGY
ADANIENT,NIFTY METAL,NIFTY METAL
ADANIGREEN,NIFTY ENERGY,NIFTY ENERGY;NIFTY INFRA
ADANIPORTS,NIFTY INFRA,NIFTY INFRA
ADANIPOWER,NIFTY ENERGY,NIFTY ENERGY
ALKEM,NIFTY HEALTHCARE,NIFTY HEALTHCARE;NIFTY INDIA MFG
AMBUJACEM,NIFTY INFRA,NIFTY INFRA;NIFTY MNC
APLAPOLLO,NIFTY METAL,NIFTY METAL;NIFTY INDIA MFG
APOLLOHOSP,NIFTY HEALTHCARE,NIFTY HEALTHCARE;NIFTY INFRA
ASHOKLEY,NIFTY AUTO,NIFTY AUTO;NIFTY INFRA;NIFTY INDIA MFG;NIFTY MNC
ASIANPAINT,OTHER,
ASTRAL,NIFTY INDIA MFG,NIFTY INDIA MFG
ATGL,NIFTY OIL & GAS,NIFTY OIL & GAS;NIFTY ENERGY
AUBANK,NIFTY PVT BANK,NIFTY PVT BANK;NIFTY BANK
AUROPHARMA,NIFTY HEALTHCARE,NIFTY HEALTHCARE;NIFTY INDIA MFG
AXISBANK,NIFTY PVT BANK,NIFTY PVT BANK;NIFTY BANK
BAJAJ-AUTO,NIFTY AUTO,NIFTY AUTO;NIFTY INDIA MFG
BAJAJFINSV,NIFTY FIN SERVICE,NIFTY FIN SERVICE
BAJAJHLDNG,NIFTY FIN SERVICE,NIFTY FIN SERVICE
BAJFINANCE,NIFTY FIN SERVICE,NIFTY FIN SERVICE
BANKBARODA,NIFTY PSU BANK,NIFTY PSU BANK;NIFTY BANK
BANKINDIA,NIFTY PSU BANK,NIFTY PSU BANK
BDL,NIFTY INDIA DEFENCE,NIFTY INDIA DEFENCE
BEL,NIFTY INDIA DEFENCE,NIFTY INDIA DEFENCE;NIFTY INDIA MFG;NIFTY PSE
BHARATFORG,NIFTY INDIA DEFENCE,NIFTY INDIA DEFENCE;NIFTY AUTO;NIFTY INFRA;NIFTY INDIA MFG
BHARTIARTL,NIFTY INFRA,NIFTY INFRA
BHEL,NIFTY ENERGY,NIFTY ENERGY;NIFTY INDIA MFG;NIFTY PSE
BIOCON,NIFTY HEALTHCARE,NIFTY HEALTHCARE
BLUESTARCO,NIFTY CONSUMER DURABLES,NIFTY CONSUMER DURABLES;NIFTY INDIA MFG
BOSCHLTD,NIFTY AUTO,NIFTY AUTO;NIFTY INDIA MFG;NIFTY MNC
BPCL,NIFTY OIL & GAS,NIFTY OIL & GAS;NIFTY ENERGY;NIFTY INFRA;NIFTY INDIA MFG;NIFTY PSE
BRITANNIA,NIFTY FMCG,NIFTY FMCG;NIFTY MNC
BSE,NIFTY FIN SERVICE,NIFTY FIN SERVICE
CANBK,NIFTY PSU BANK,NIFTY PSU BANK;NIFTY BANK
CGPOWER,NIFTY ENERGY,NIFTY ENERGY;NIFTY INFRA;NIFTY INDIA MFG
