date,nav
2015-01-02,2000000.0
2015-02-02,1958273.8777540918
2015-03-02,2131088.7588772303
2015-04-01,2097703.101583905
2015-05-01,2123655.7536440007
2015-06-01,2111024.2150826007
2015-07-01,2076362.4974675276
2015-08-03,2152199.9832575247
2015-09-01,1964026.751996299
2015-10-01,2010969.2892163002
2015-11-02,2207967.0084431376
2015-12-01,2239910.1861697193
2016-01-04,2099149.0786533155
2016-02-01,1997280.4442498474
2016-03-01,2030547.9756276398
2016-04-01,2139481.091388443
2016-05-02,2050719.3697961785
2016-06-01,2154505.602877996
2016-07-01,2155621.7670563348
2016-08-01,2321626.279541731
2016-09-01,2446151.308675695
2016-10-03,2532335.8107115123
2016-11-01,2478878.00633491
2016-12-01,2598741.9227942126
2017-01-03,2770579.29493833
2017-02-01,3005805.7818506663
2017-03-01,2974819.266366116
2017-04-03,3028085.462043916
2017-05-01,3105277.628913522
2017-06-01,3551580.369273593
2017-07-03,3349143.6433373834
2017-08-01,3602230.5621060003
2017-09-01,3682146.3367111403
2017-10-02,3786650.145119791
2017-11-01,4256718.415261363
2017-12-01,4211950.276681994
2018-01-02,4154856.415430163
2018-02-01,4499389.836649735
2018-03-01,4514404.7194075165
2018-04-02,4321781.641753871
2018-05-01,4585110.101796132
2018-06-01,4970363.811482642
2018-07-02,5007389.304766034
2018-08-01,5108285.19214205
2018-09-04,5513964.307048475
2018-10-01,5510269.590151351
2018-11-01,4824837.750896571
2018-12-03,4868802.330272213
2019-01-02,4366383.3357028505
2019-02-01,4656776.463647797
2019-03-01,4940699.173639252
2019-04-01,5160844.933736021
2019-05-01,5104993.3869856065
2019-06-03,4922763.415138887
2019-07-01,5277952.546208071
2019-08-01,5286560.070256153
2019-09-03,5377627.387505481
2019-10-01,5210965.763085315
2019-11-01,5297768.3022414055
2019-12-02,5164431.716951443
2020-01-02,5667411.600140316
2020-02-03,5689279.012051327
2020-03-02,5483844.773288923
2020-04-01,4586888.861551119
2020-05-01,5237295.375702692
2020-06-01,5874028.289259838
2020-07-01,6460460.23421035
2020-08-03,7371799.940340962
2020-09-01,9091206.78885504
2020-10-01,8772049.00771376
2020-11-02,8212826.554227175
2020-12-01,9878126.036865242
2021-01-04,10454074.694157572
2021-02-01,11756347.77143571
2021-03-01,11904718.894255515
2021-04-01,10411370.747673087
2021-05-03,10657376.811785843
2021-06-01,10539757.658865988
2021-07-01,11270954.898766557
2021-08-02,12647407.104474226
2021-09-01,13434820.301924868
2021-10-01,12580339.71125022
2021-11-01,13460486.39398561
2021-12-01,12782393.358623188
2022-01-03,12995805.524203407
2022-02-01,11490079.628765255
2022-03-01,11260628.981927056
2022-04-01,12105316.686772484
2022-05-02,11219009.59081759
2022-06-01,11051258.756842751
2022-07-01,10808619.238487381
2022-08-01,11459752.074351449
2022-09-01,11058459.275209565
2022-10-03,10433900.86664309
2022-11-01,10976460.255465645
2022-12-01,11708355.564105172
2023-01-03,11147796.030031342
2023-02-01,11823240.355950493
2023-03-01,11229592.43810026
2023-04-03,11453175.84323955
2023-05-01,11554409.95732888
2023-06-01,12243959.232266821
2023-07-03,12752554.28658593
2023-08-01,13118022.524159882
2023-09-01,13093520.534300786
2023-10-02,12505007.663412068
2023-11-01,12131582.355774105
2023-12-01,13213639.687216867
2024-01-02,13068433.127427202
2024-02-01,14681323.365522688
2024-03-01,16484508.027053207
2024-04-01,16798505.20085874
2024-05-01,15614726.300230486
2024-06-03,17272544.52615221
2024-07-01,18293672.731048636
2024-08-01,15735268.84442079
2024-09-03,16036600.298560917
2024-10-01,15936392.232621435
2024-11-01,16157162.27508076
2024-12-02,17540610.08259185
2025-01-02,16511034.2607611
2025-02-03,17248420.578113183
2025-03-03,16609347.270851843
2025-04-01,15787887.325310456
2025-05-01,16166793.468384491
2025-06-02,17263597.6302955
2025-07-01,17550805.42748218
2025-08-01,17731591.84883838
2025-09-02,17602311.824005395
2025-10-01,19717520.83707515
2025-11-03,19817147.67448276
2025-12-01,19377690.591005504
2026-01-02,21116358.18819632
2026-02-02,25197157.884004958
2026-03-02,25200047.244093306
2026-04-01,24702730.203852423
2026-05-01,30943489.498114355
